location,area,details,price,agent,agency,link,rooms,bathroom,parking
"28 Mont Kiara @ MK28, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,700 sq. ft.","RM 2,300,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/28-mont-kiara-mk-28/sale-104064389/,3+1,5,3
"WANGSA 9 RESIDENCY, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium  •  Built-up : 1,647 sq. ft.  •  Partly furnished","RM 1,100,000",Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/wangsa-maju/wangsa-9-residency/sale-100500950/,4,3,2
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.  •  Partly furnished,"RM 1,680,000",Theresa Wong,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-103393679/,2,2,1
"Duta Kensington, Mont Kiara","Mont Kiara, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,447 sq. ft.  •  Partly furnished","RM 1,950,000",Mervin Kho,Arden Estates Sdn Bhd,https://www.iproperty.com.my/property/mont-kiara/sale-104173987/,4+1,4,2
"OUG Parklane, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Serviced Residence  •  Built-up : 950 sq. ft.,"RM 320,000",Christina Yek,Ace Realty,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/oug-parklane/sale-101233295/,3,2,1
"Kiara Park, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,340 sq. ft.  •  Fully furnished","RM 850,000",Angie Yoa,Sky Asset Properties,https://www.iproperty.com.my/property/taman-tun-dr-ismail/kiara-park/sale-103659213/,3,2,1
"Pinnacle, Sri Petaling","Sri Petaling, Kuala Lumpur",Condominium  •  Built-up : 900 sq. ft.,"RM 670,000",Max Chua,Amg Realty & Consultancy Sdn. Bhd.,https://www.iproperty.com.my/property/sri-petaling/pinnacle/ol-sale-104446660/,3,3,2
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 12,117 sq. ft.  •  Partly furnished","RM 9,400,000",Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102536586/,7+1,11,
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 9,551 sq. ft.  •  Partly furnished","RM 12,500,000",Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102195083/,5+1,7,6
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 10,000 sq. ft.","RM 12,000,000",Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-103180917/,6+1,7,6
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 8,000 sq. ft.  •  Partly furnished","RM 11,000,000",Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102195027/,5+1,7,3
"Pavilion, Damansara Heights","Damansara Heights, Kuala Lumpur",Serviced Residence  •  Built-up : 702 sq. ft.  •  Fully furnished,"RM 1,217,394",Nicole Fong,Realtag Properties,https://www.iproperty.com.my/property/damansara-heights/pavilion/sale-102048660/,1,1,1
"Bukit Damansara, Damansara Heights","Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 7,651 sq. ft.  •  Partly furnished","RM 11,500,000",Gen Lau,Billion Realtors,https://www.iproperty.com.my/property/damansara-heights/sale-102194938/,5+1,7,
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 5,250 sq. ft.  •  Partly furnished","RM 9,100,000",TH Lee,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-103962863/,4+1,6,3
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,184 sq. ft.  •  Partly furnished","RM 818,200",Vernice Teh,Wereg Properties Sdn Bhd,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104202182/,4,3,2
"Tiffani Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,257 sq. ft.  •  Fully furnished","RM 1,250,000",Mavviies Teea,J Maison Realtor,https://www.iproperty.com.my/property/mont-kiara/tiffani-kiara/ol-sale-104384487/,3+1,5,2
"Bandar Sri damansara SD2 SD3 SD4 Kepong, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,300 sq. ft.","RM 610,000",Joly Liew,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104422970/,3,2,
"Mercu Summer Suites, KL City, KLCC","KLCC, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 493 sq. ft.  •  Fully furnished,"RM 390,000",Tammy Wong,Greenfield Properties - Kota Damansara,https://www.iproperty.com.my/property/klcc/mercu-summer-suites/sale-102020084/,Studio,1,
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Fully furnished","RM 6,350,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/klcc/four-seasons-place/ol-sale-104166806/,4,4,2
"Mercu Summer Suites, KL City, KLCC","KLCC, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 713 sq. ft.  •  Partly furnished,"RM 500,000",Tammy Wong,Greenfield Properties - Kota Damansara,https://www.iproperty.com.my/property/klcc/mercu-summer-suites/sale-102020041/,1,1,
"Kasturi, Bandar Sri Permaisuri, Cheras","Cheras, Kuala Lumpur",Flat | Intermediate  •  Built-up : 650 sq. ft.  •  Partly furnished,"RM 260,000",Mohd Ridzuan,Firdaus & Associates Property Professionals - Wangsa Maju,https://www.iproperty.com.my/property/cheras/kasturi/sale-104446506/,3,2,1
"The Estate, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 3,474 sq. ft.","RM 2,880,000",Shane Lim,The Roof Realty - Puchong,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-estate/ol-sale-104390026/,5+1,5,4
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.","RM 1,100,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104251269/,2,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,700 sq. ft.  •  Partly furnished","RM 2,080,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103881950/,3+1,4,2
"M City, Ampang","Ampang, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,653 sq. ft.  •  Fully furnished","RM 1,850,000",Juliet Kang,Landbanc Property Sdn. Bhd.,https://www.iproperty.com.my/property/ampang/m-city/sale-104242493/,3+2,4,2
"Serene Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Townhouse | Intermediate  •  Built-up : 2,900 sq. ft.  •  Unfurnished","RM 1,956,000",Zee,Metro City Realtors Sdn. Bhd. (MK),https://www.iproperty.com.my/property/mont-kiara/sale-104504074/,4+1,5,2
"Inspirasi, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished","RM 780,000",Daniel Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/inspirasi/sale-104471985/,3,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,367 sq. ft.  •  Fully furnished","RM 1,480,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103614875/,2+1,3,2
"Casaman, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 4,306 sq. ft.","RM 5,500,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-102208428/,4+1,4,4
"Bukit Tunku, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.  •  Partly furnished","RM 11,000,000",Brandon Lim,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104413636/,5+1,5,6
"Casaman, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,300 sq. ft.","RM 4,200,000",Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-101131301/,3+1,4,2
"The Mansions , Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 6,213 sq. ft.","RM 6,300,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-101876417/,6+1,6,6
