location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Pertiwi Indah, Cheras","Cheras, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,300 sq. ft.  •  Partly furnished","RM 540,000",Posted on 06 Jan 2023 03:01 PM,Darryl Low J.W,Avid Estates,https://www.iproperty.com.my/property/cheras/pertiwi-indah/sale-100282050/,3,2,1
"Anjali North Kiara, Segambut","Segambut, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,319 sq. ft.  •  Partly furnished","RM 835,000",Posted on 06 Jan 2023 02:59 PM,Grace Chooi,Titanium Realty . -  Kepong,https://www.iproperty.com.my/property/segambut/anjali-north-kiara/sale-100421593/,3,2,2
"Platinum Hill PV 6, Setapak","Setapak, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 440,000",Posted on 06 Jan 2023 02:58 PM,Vanessa Choong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/setapak/platinum-hill-pv-6/ol-sale-104428690/,4,2,2
"Damai Residence, Sungai Besi","Sungai Besi, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 910 sq. ft.  •  Unfurnished,"RM 498,000",Posted on 06 Jan 2023 02:58 PM,Grace Chooi,Titanium Realty . -  Kepong,https://www.iproperty.com.my/property/sungai-besi/damai-residence/sale-103693934/,3,2,2
"Tuan Residency, Taman City, Jalan Kuching","Jalan Kuching, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 878 sq. ft.  •  Unfurnished,"RM 465,000",Posted on 06 Jan 2023 02:57 PM,Grace Chooi,Titanium Realty . -  Kepong,https://www.iproperty.com.my/property/jalan-kuching/tuan-residency/sale-101531008/,3,2,2
"10 Mont Kiara @ MK10, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,632 sq. ft.  •  Partly furnished","RM 3,268,000",Posted on 06 Jan 2023 02:53 PM,Amy Chia,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/10-mont-kiara-mk-10/sale-100297325/,4+1,6,3
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,077 sq. ft.  •  Partly furnished","RM 1,070,000",Posted on 06 Jan 2023 02:52 PM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-104485141/,2,2,2
"Sunway Velocity Two, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 786 sq. ft.  •  Partly furnished,"RM 699,000",Posted on 06 Jan 2023 02:46 PM,Louis Chen,Showcase Properties - Damansara Perdana,https://www.iproperty.com.my/property/cheras/sunway-velocity-two/sale-103500436/,2,2,1
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | End lot  •  Built-up : 1,066 sq. ft.  •  Fully furnished","RM 1,250,000",Posted on 06 Jan 2023 02:40 PM,Ivy Teng,Worldtree Properties Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-101822352/,2,1,2
"Alam Sutera,Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Semi-detached House  •  Built-up : 3,159 sq. ft.  •  Fully furnished","RM 1,650,000",Posted on 06 Jan 2023 02:39 PM,Renee Yew,Full Homes Realty - Bandar Kinrara,https://www.iproperty.com.my/property/bukit-jalil/sale-101938109/,5+1,6,2
"Mont Kiara Meridin, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 4,530 sq. ft.  •  Partly furnished","RM 2,550,000",Posted on 06 Jan 2023 02:30 PM,Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/mont-kiara-meridin/sale-104481872/,5+1,6,5
"Pinnacle, Sri Petaling","Sri Petaling, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 900 sq. ft.  •  Unfurnished,"RM 670,000",Posted on 06 Jan 2023 02:26 PM,Jey Ong,Amg Realty & Consultancy Sdn. Bhd.,https://www.iproperty.com.my/property/sri-petaling/pinnacle/sale-104456161/,3,2,2
"Mizumi Residences, Kepong","Kepong, Kuala Lumpur","Condominium  •  Built-up : 1,027 sq. ft.  •  Unfurnished","RM 580,000",Posted on 06 Jan 2023 02:25 PM,SC Yap,Titanium Realty . -  Kepong,https://www.iproperty.com.my/property/kepong/mizumi-residences/ol-sale-104405975/,3+1,3,2
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,076 sq. ft.  •  Fully furnished","RM 1,950,000",Posted on 06 Jan 2023 02:25 PM,Jaysen See,EUM Realty Sdn. Bhd. (Pandan Perdana),https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/ol-sale-104291500/,1+1,2,1
"The Reach @ Titiwangsa, Setapak","Setapak, Kuala Lumpur","Condominium  •  Built-up : 1,441 sq. ft.","RM 760,000",Posted on 06 Jan 2023 02:25 PM,Wei Shan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/the-reach-titiwangsa/sale-100917389/,3,3,2
"Hampshire Place, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,399 sq. ft.  •  Fully furnished","RM 1,399,000",Posted on 06 Jan 2023 02:23 PM,Darren Khor,City Crest Realtors,https://www.iproperty.com.my/property/klcc/hampshire-place/sale-102302727/,2,2,1
"Taman Bukit Maluri , Bandar Menjalara , Kepong , Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.","RM 998,000",Posted on 06 Jan 2023 02:18 PM,Adan Soh,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/kepong/sale-104254502/,4,4,
"Hampshire Place, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,356 sq. ft.  •  Fully furnished","RM 1,380,000",Posted on 06 Jan 2023 02:16 PM,Darren Khor,City Crest Realtors,https://www.iproperty.com.my/property/klcc/hampshire-place/sale-102302726/,2,2,1
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,485 sq. ft.","RM 1,300,000",Posted on 06 Jan 2023 02:09 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-103999706/,2+1,2,2
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,948 sq. ft.  •  Partly furnished","RM 1,900,000",Posted on 06 Jan 2023 02:09 PM,Scott Lee,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-102904584/,3+1,4,3
"Kuchai Avenue, Kuchai Entrepreneurs Park, Kuchai Lama","Kuchai Lama, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 935 sq. ft.  •  Partly furnished,"RM 360,000",Posted on 06 Jan 2023 02:03 PM,Daniel,Sinland Real Estate,https://www.iproperty.com.my/property/kuchai-lama/kuchai-avenue/sale-102568979/,3,2,1
"Continew, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 836 sq. ft.,"RM 700,702",Posted on 06 Jan 2023 02:00 PM,JC Lim,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/continew/sale-104432879/,2,2,1
"Taman seri Minang, Cheras","Cheras, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,300 sq. ft.  •  Partly furnished","RM 1,575,000",Posted on 06 Jan 2023 01:55 PM,Jojo Tan,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/sale-104084823/,5+1,5,
"Desa Hills Villas, Desa Petaling","Desa Petaling, Kuala Lumpur","Semi-detached House  •  Built-up : 4,175 sq. ft.","RM 2,600,000",Posted on 06 Jan 2023 01:49 PM,Steven Wong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/desa-petaling/sale-102189846/,4,4,4
"One Menerung, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium  •  Built-up : 5,220 sq. ft.","RM 8,800,000",Posted on 06 Jan 2023 01:39 PM,Priscilla Wong,Asian Land Realty Sdn. Bhd. (MK),https://www.iproperty.com.my/property/bangsar/one-menerung/sale-100875119/,4+1,5,3
"One Menerung, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium  •  Built-up : 8,200 sq. ft.","RM 12,500,000",Posted on 06 Jan 2023 01:38 PM,Priscilla Wong,Asian Land Realty Sdn. Bhd. (MK),https://www.iproperty.com.my/property/bangsar/one-menerung/sale-100873331/,5+2,6,7
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,389 sq. ft.  •  Partly furnished","RM 1,180,000",Posted on 06 Jan 2023 01:36 PM,Alex Goh,Yit Seng Realty,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104405691/,3,2,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Posted on 06 Jan 2023 01:33 PM,Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104455994/,3,2,2
"Bangsar, KL City","KL City, Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.","RM 6,800,000",Posted on 06 Jan 2023 01:29 PM,Ravi,City Real Properties,https://www.iproperty.com.my/property/kl-city/ol-sale-104432801/,6,6,
"The Westside One, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,378 sq. ft.  •  Partly furnished","RM 960,000",Posted on 06 Jan 2023 01:27 PM,Alex Goh,Yit Seng Realty,https://www.iproperty.com.my/property/desa-park-city/the-westside-one/sale-102531141/,2+1,3,2
"The Mansions, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3.5-sty Terrace/Link House | Corner lot  •  Built-up : 6,633 sq. ft.  •  Partly furnished","RM 6,800,000",Posted on 06 Jan 2023 01:22 PM,Rainee Chin,Space Realty,https://www.iproperty.com.my/property/desa-park-city/sale-104149306/,6+1,7,6
"Seri Riana Residence, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,967 sq. ft.  •  Partly furnished","RM 1,090,000",Posted on 06 Jan 2023 01:16 PM,Llionel Ong,GT Nelson Realty Sdn Bhd,https://www.iproperty.com.my/property/wangsa-maju/seri-riana-residence/sale-102318553/,3+1,4,3
"Bukit Tunku, Kenny Hills, KL, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 36,000 sq. ft.","RM 45,000,000",Posted on 06 Jan 2023 12:56 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104066130/,8+3,12,12
"Bukit Tunku, Kenny Hills, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 15,000 sq. ft.  •  Partly furnished","RM 15,000,000",Posted on 06 Jan 2023 12:56 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104333161/,6+1,8,6
"Mutiara Sentul, Sentul","Sentul, Kuala Lumpur",Condominium  •  Built-up : 935 sq. ft.,"RM 275,000",Posted on 06 Jan 2023 12:55 PM,Mohd Shah Dolah,Landsworth Properties Sdn Bhd,https://www.iproperty.com.my/property/sentul/mutiara-sentul/sale-104273626/,3,2,1
"Desa Setapak, Wangsa Maju","Wangsa Maju, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,000 sq. ft.  •  Partly furnished","RM 420,000",Posted on 06 Jan 2023 12:54 PM,Frank Low,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/wangsa-maju/sale-101812564/,3,3,2
"Bukit Jalil Golf & Country Resort Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 5,200 sq. ft.","RM 4,880,000",Posted on 06 Jan 2023 12:54 PM,Marcus Liew,Simon Realty,https://www.iproperty.com.my/property/bukit-jalil/sale-102644354/,6,6,4
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,271 sq. ft.","RM 1,300,000",Posted on 06 Jan 2023 12:54 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/westside-three/ol-sale-104483223/,2+1,2,2
"Bukit Jalil Golf & Country Resort , Bukit Jalil","Bukit Jalil, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished","RM 4,300,000",Posted on 06 Jan 2023 12:53 PM,Marcus Liew,Simon Realty,https://www.iproperty.com.my/property/bukit-jalil/sale-103669581/,5,6,2
"Rivercity Condominium, Jalan Ipoh","Jalan Ipoh, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,539 sq. ft.  •  Partly furnished","RM 475,000",Posted on 06 Jan 2023 12:53 PM,Mohd Shah Dolah,Landsworth Properties Sdn Bhd,https://www.iproperty.com.my/property/jalan-ipoh/rivercity-condominium/sale-103856426/,3+1,3,1
"Sunway Montana Setapak Taman Melawati Ampang, Setapak","Setapak, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,674 sq. ft.  •  Partly furnished","RM 1,800,000",Posted on 06 Jan 2023 12:45 PM,Diren Tee,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/setapak/ol-sale-104432602/,4+1,5,3
Taman Duta,"Taman Duta, Kuala Lumpur","Bungalow  •  Built-up : 15,086 sq. ft.","RM 21,000,000",Posted on 06 Jan 2023 12:42 PM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/taman-duta/sale-104484425/,5+3,7,10
"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut","Segambut, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,019 sq. ft.  •  Partly furnished","RM 585,000",Posted on 06 Jan 2023 12:34 PM,Suki Tan,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/segambut/scenaria-north-kiara-hills/sale-102106631/,3,2,2
"Alam Damai, Damai Budi, Damai Rasa, Dama Jasa, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 780,000",Posted on 06 Jan 2023 12:32 PM,Allie Hew,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/cheras/sale-103172580/,4,3,
"Fadason Villa, Fortune Park, Kepong, Kepong Baru, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished","RM 1,128,000",Posted on 06 Jan 2023 12:31 PM,Adan Soh,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/kepong/sale-104432550/,4,3,
"Taman Wangsa Permai, Taman Suria, Taman Bukit Desa, Kepong","Kepong, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Fully furnished","RM 820,000",Posted on 06 Jan 2023 12:28 PM,Allie Hew,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/kepong/sale-104061504/,4,4,
"Arunya @ KL North, Kepong","Kepong, Kuala Lumpur",Condominium  •  Built-up : 743 sq. ft.  •  Partly furnished,"RM 380,000",Posted on 06 Jan 2023 12:25 PM,Jack Yong,POLYGON PROPERTIES SDN BHD,https://www.iproperty.com.my/property/kepong/arunya-kl-north/sale-103796610/,2,1,1
"10 Mont Kiara @ MK10, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,668 sq. ft.  •  Fully furnished","RM 3,000,000",Posted on 06 Jan 2023 12:23 PM,Michelle Cheong,Landbanc Property Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/10-mont-kiara-mk-10/ol-sale-104405354/,4,4,3
"2storey House,Taman Pertama, Cheras, Kuala Lumpur, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,650 sq. ft.  •  Partly furnished","RM 798,000",Posted on 06 Jan 2023 12:22 PM,Rachel Lee,CHESTER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/cheras/sale-103892848/,4,3,
"Bukit Anggerik Cheras KL, Cheras","Cheras, Kuala Lumpur",2-sty Terrace/Link House | Intermediate  •  Built-up : 850 sq. ft.  •  Unfurnished,"RM 350,000",Posted on 06 Jan 2023 12:21 PM,Mohd Ridzuan,Firdaus & Associates Property Professionals - Wangsa Maju,https://www.iproperty.com.my/property/cheras/sale-104432510/,2,2,2
"Bukit Tunku, Kenny Hills, KL, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 12,000 sq. ft.","RM 8,500,000",Posted on 06 Jan 2023 12:18 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-103560378/,7+1,8,8
"Bukit Tunku, Kenny Hills, KL, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 10,500 sq. ft.  •  Fully furnished","RM 18,000,000",Posted on 06 Jan 2023 12:17 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104208662/,5+2,6,6
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 11,500 sq. ft.  •  Partly furnished","RM 9,000,000",Posted on 06 Jan 2023 12:16 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-103372131/,7,8,6
"Safa, Safa Terraces, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Partly furnished","RM 2,580,000",Posted on 06 Jan 2023 12:15 PM,Rainee Chin,Space Realty,https://www.iproperty.com.my/property/desa-park-city/sale-102571101/,3+1,4,2
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.  •  Partly furnished","RM 12,800,000",Posted on 06 Jan 2023 12:15 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-102515253/,7+2,8,6
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 12,000 sq. ft.  •  Partly furnished","RM 13,800,000",Posted on 06 Jan 2023 12:15 PM,Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/country-heights-damansara/sale-102575735/,6+2,10,10
"Wangsa Maju 2 Storey Corner House, Gated-Guarded , Setapak","Setapak, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,400 sq. ft.","RM 1,400,000",Posted on 06 Jan 2023 12:14 PM,Wyking Mak,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/setapak/sale-104405264/,5,4,
"Sunway Velocity Two, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 581 sq. ft.,"RM 519,000",Posted on 06 Jan 2023 12:07 PM,Louis Chen,Showcase Properties - Damansara Perdana,https://www.iproperty.com.my/property/cheras/sunway-velocity-two/sale-103511770/,2,2,1
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur",Condominium  •  Built-up : 876 sq. ft.  •  Partly furnished,"RM 920,000",Posted on 06 Jan 2023 12:06 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104484316/,2,2,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,001 sq. ft.  •  Partly furnished","RM 990,000",Posted on 06 Jan 2023 12:06 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104484286/,2,2,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,194 sq. ft.  •  Partly furnished","RM 1,050,000",Posted on 06 Jan 2023 12:06 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104484268/,3,2,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,537 sq. ft.  •  Partly furnished","RM 1,450,000",Posted on 06 Jan 2023 12:06 PM,Lucas Liew,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104484282/,3+1,3,3
"Nobleton Crest, Taman U-Thant, Ampang Hilir","Ampang Hilir, Kuala Lumpur","Condominium | Penthouse  •  Built-up : 6,491 sq. ft.  •  Fully furnished","RM 7,100,000",Posted on 06 Jan 2023 12:06 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/ampang-hilir/nobleton-crest/sale-104403373/,4+1,5,4
"Sunway Velocity Two, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 786 sq. ft.  •  Partly furnished,"RM 699,000",Posted on 06 Jan 2023 12:06 PM,Louis Chen,Showcase Properties - Damansara Perdana,https://www.iproperty.com.my/property/cheras/sunway-velocity-two/sale-103577408/,2,2,1
"Desa Setapak, Wangsa Maju, Setapak, Wangsa Maju","Wangsa Maju, Kuala Lumpur","2.5-sty Terrace/Link House | Corner lot  •  Built-up : 1,300 sq. ft.  •  Partly furnished","RM 670,000",Posted on 06 Jan 2023 12:02 PM,Bernice Wong,E Trend Realty - Kepong,https://www.iproperty.com.my/property/wangsa-maju/sale-102795994/,3,3,3
"Aurora Tower @ Eco Sky, Batu Caves","Batu Caves, Kuala Lumpur",Serviced Residence  •  Built-up : 904 sq. ft.,"RM 480,000",Posted on 06 Jan 2023 12:02 PM,Shirlyn Lai,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/batu-caves/aurora-tower-eco-sky/ol-sale-104432464/,2,2,2
"Amarin Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 6,500 sq. ft.  •  Partly furnished","RM 4,880,000",Posted on 06 Jan 2023 11:55 AM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/sale-102058275/,5+2,6,4
"OBD Garden Tower, Taman Desa","Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,648 sq. ft.  •  Fully furnished","RM 955,000",Posted on 06 Jan 2023 11:53 AM,Nelly Khong,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-desa/obd-garden-tower/sale-104383615/,3+1,2,1
"Sunway Montana, Taman Melawati","Taman Melawati, Kuala Lumpur","Townhouse | Intermediate  •  Built-up : 2,900 sq. ft.  •  Partly furnished","RM 1,600,000",Posted on 06 Jan 2023 11:50 AM,Faez Muzamel,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/taman-melawati/sale-104077338/,4,4,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 5,038 sq. ft.  •  Partly furnished","RM 5,200,000",Posted on 06 Jan 2023 11:48 AM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104014976/,4+1,6,4
"Sunway Spk 3 Harmoni, Sunway Damansara, Sunway SPK","Sunway SPK, Kuala Lumpur","Townhouse | Intermediate  •  Built-up : 2,336 sq. ft.  •  Partly furnished","RM 1,700,000",Posted on 06 Jan 2023 11:44 AM,Kiing TW,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/sunway-spk/sale-104432347/,3+1,4,2
"Sri Putramas III / Royal Regent, Jalan Kuching","Jalan Kuching, Kuala Lumpur","Condominium  •  Built-up : 1,590 sq. ft.  •  Partly furnished","RM 666,000",Posted on 06 Jan 2023 11:43 AM,Benjamin Lai,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-kuching/sri-putramas-iii-royal-regent/sale-103821377/,3+1,2,
"Duta Nusantara, Mont Kiara","Mont Kiara, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,000 sq. ft.  •  Partly furnished","RM 4,500,000",Posted on 06 Jan 2023 11:41 AM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/sale-102058098/,5+1,5,4
"Duta Nusantara, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.  •  Partly furnished","RM 7,800,000",Posted on 06 Jan 2023 11:41 AM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sale-102634068/,5+2,6,6
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,603 sq. ft.","RM 1,380,000",Posted on 06 Jan 2023 11:38 AM,Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104481508/,3+1,4,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,767 sq. ft.  •  Fully furnished","RM 2,400,000",Posted on 06 Jan 2023 11:38 AM,Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-104479276/,4+1,6,3
"Taman Connaught, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,000 sq. ft.  •  Partly furnished","RM 680,000",Posted on 06 Jan 2023 11:36 AM,Kevin Yai,PROPNEX REALTY SDN BHD,https://www.iproperty.com.my/property/cheras/ol-sale-104328331/,4,4,2
"TTDI Taman Tun Dr Ismail, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 4,000 sq. ft.  •  Partly furnished","RM 4,800,000",Posted on 06 Jan 2023 11:34 AM,Richard Small,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-103739005/,4+2,5,
"TTDI, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 4,000 sq. ft.  •  Unfurnished","RM 4,800,000",Posted on 06 Jan 2023 11:34 AM,Richard Small,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-100496951/,3+1,3,
"Hartamas Heights, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Bungalow  •  Built-up : 13,000 sq. ft.  •  Partly furnished","RM 15,500,000",Posted on 06 Jan 2023 11:33 AM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sale-102057977/,7,8,
