location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Southlake Terraces, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished","RM 2,500,000",Posted on 09 Jan 2023 01:47 PM,Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104495019/,3+1,4,4
"DAVINIA, DESA PARKCITY, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Bungalow  •  Built-up : 7,000 sq. ft.  •  Partly furnished","RM 8,100,000",Posted on 09 Jan 2023 01:45 PM,Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/sale-103555750/,6+1,7,4
"Taman Yarl, OUG","OUG, Kuala Lumpur","Bungalow  •  Built-up : 5,000 sq. ft.","RM 3,200,000",Posted on 09 Jan 2023 01:44 PM,Ruben Segaram,Zerin Properties Sdn. Bhd.,https://www.iproperty.com.my/property/oug/sale-103601298/,6+4,4,4
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,570 sq. ft.  •  Partly furnished","RM 1,760,000",Posted on 09 Jan 2023 01:39 PM,Miko Lew,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/ol-sale-104494988/,3+1,4,3
Taman Desa,"Taman Desa, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,760 sq. ft.  •  Fully furnished","RM 2,000,000",Posted on 09 Jan 2023 01:39 PM,Shimry Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-desa/sale-104343485/,5,5,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,206 sq. ft.  •  Partly furnished","RM 870,000",Posted on 09 Jan 2023 01:39 PM,Bob Yeo,Knight World Realty,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104463124/,4+1,3,3
Taman Desa,"Taman Desa, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.","RM 2,750,000",Posted on 09 Jan 2023 01:38 PM,Shimry Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-desa/sale-103015514/,3,3,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished,"RM 928,000",Posted on 09 Jan 2023 01:37 PM,Miko Lew,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/ol-sale-104494976/,3,2,1
Taman Desa,"Taman Desa, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Partly furnished","RM 1,180,000",Posted on 09 Jan 2023 01:37 PM,Shimry Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-desa/sale-103783967/,4,3,2
"Bukit Desa Condominium, Taman Desa","Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,240 sq. ft.  •  Partly furnished","RM 650,000",Posted on 09 Jan 2023 01:36 PM,Shimry Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-desa/bukit-desa-condominium/sale-103930749/,3,2,1
