details
"Condominium  •  Built-up : 1,367 sq. ft.  •  Fully furnished"
"3-sty Terrace/Link House  •  Built-up : 4,306 sq. ft."
"Bungalow  •  Built-up : 6,000 sq. ft.  •  Partly furnished"
"2-sty Terrace/Link House  •  Built-up : 3,300 sq. ft."
"3-sty Terrace/Link House  •  Built-up : 6,213 sq. ft."
"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Partly furnished"
"2.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,100 sq. ft.  •  Unfurnished"
"Condominium | Intermediate  •  Built-up : 1,663 sq. ft.  •  Partly furnished"
"Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Fully furnished"
"Condominium | Intermediate  •  Built-up : 1,826 sq. ft.  •  Partly furnished"
Serviced Residence  •  Built-up : 850 sq. ft.
"Condominium | Intermediate  •  Built-up : 1,164 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 2,403 sq. ft.  •  Partly furnished"
"Serviced Residence  •  Built-up : 1,259 sq. ft.  •  Fully furnished"
"Serviced Residence | Corner lot  •  Built-up : 1,400 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 2,110 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,661 sq. ft.  •  Fully furnished"
"Condominium  •  Built-up : 1,636 sq. ft.  •  Partly furnished"
"3-sty Terrace/Link House  •  Built-up : 4,500 sq. ft.  •  Partly furnished"
"Serviced Residence | Dual key  •  Built-up : 1,510 sq. ft.  •  Partly furnished"
Condominium  •  Built-up : 915 sq. ft.  •  Fully furnished
Serviced Residence  •  Built-up : 567 sq. ft.  •  Partly furnished
"Serviced Residence | Duplex  •  Built-up : 1,341 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 1,448 sq. ft.  •  Fully furnished"
"Bungalow  •  Built-up : 11,000 sq. ft.  •  Partly furnished"
"Bungalow  •  Built-up : 12,500 sq. ft.  •  Fully furnished"
"Condominium | Corner lot  •  Built-up : 2,271 sq. ft.  •  Partly furnished"
Condominium | Corner lot  •  Built-up : 718 sq. ft.  •  Fully furnished
"Condominium | Intermediate  •  Built-up : 1,254 sq. ft.  •  Fully furnished"
Condominium | Intermediate  •  Built-up : 747 sq. ft.  •  Fully furnished
Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Partly furnished
"Condominium | Intermediate  •  Built-up : 1,232 sq. ft.  •  Partly furnished"
